Gid,SE_T025_006,SE_T025_007,SE_T025_004,SE_T025_005,SE_T025_002,SE_T025_003,SE_T025_001,SE_T002_003,SE_T002_002,SE_T002_001,SE_T025_008,SE_T050_011,SE_T050_010,SE_T050_013,SE_T050_012,SE_T050_014,SE_T078_002,SE_T139_067,SE_T182_001,SE_T139_122,SE_T053_001,SE_T053_003,SE_T053_002,SE_T053_005,SE_T053_004,SE_T053_006,SE_T139_034,SE_T147_001,SE_T013_005,SE_T013_004,SE_T013_007,SE_T013_006,SE_T013_001,SE_T059_001,SE_T013_003,SE_T013_002,SE_T056_017,SE_T145_002,SE_T007_002,SE_T013_008,SE_T007_001,SE_T139_085,SE_T157_001,SE_T081_001,SE_T081_002,SE_T050_006,SE_T050_007,SE_T050_004,SE_T050_005,SE_T050_002,SE_T050_003,SE_T108_002,SE_T050_001,SE_T005_001,SE_T139_002,SE_T145_001,SE_T050_008,SE_T050_009,SE_T030_001,SE_T030_002,SE_T083_001,SE_T094_003,SE_T004_001,SE_T080_001,SE_T004_003,SE_T004_002,SE_T057_001,SE_T139_091,SE_T094_001,SE_T182_007,SE_T108_001,SE_T139_001,SE_T182_002,SE_T007_013,SE_T080_002,SE_T056_001,SE_T056_002,SE_T078_001
14000US36047990100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14000US53011041005,1.42,0.47,46.85,8.06,19.3,23.56,100.0,14.0940977332714,178.0887,2510,0.34,0,17.3,9.44,6.26,11.03,23.13,0,100.0,3.44,100.0,8.95,67.5,10.24,13.32,0,8.11,25,1.47,0.88,23.27,0.88,100.0,47813.0389064143,7.01,58.01,0.53,17.53,11.59,8.49,100.0,0,0.4867,100.0,10.73,7.65,12.03,0.89,1.19,10.54,9.05,63.81,100.0,100.0,3.93,100.0,5.77,8.85,100.0,5.19,18250,43.64,100.0,100.0,54.86,45.14,34330,84.52,100.0,1.37,100.0,100.0,8.62,0.68,5.47,100.0,12.3,100.0
14000US53011041007,3.95,0.25,41.21,16.01,9.72,28.86,100.0,0.746601914757906,4666.476,3484,0,0.56,14.07,6.82,9.67,9.18,27.09,3.95,100.0,0,100.0,12.15,72.35,6.08,9.42,0,4.8,28,0.26,0.83,6.4,0,100.0,73165.785609398,5.28,84.1,1.76,14.69,9.53,3.13,100.0,0,0.4592,100.0,12.26,8.74,4.65,0.62,0.5,12.52,13.76,72.56,100.0,100.0,31.64,100.0,7.56,11.35,100.0,5.8,28435,39.79,100.0,100.0,49.86,50.14,55605,59.6,100.0,1.54,100.0,100.0,1.32,1.64,1.76,100.0,6.68,100.0
14000US22071005400,12.63,4.14,22.47,41.48,4.55,10.59,100.0,0.329433572665202,5284.829,1741,4.14,0,10.13,0,2.08,0.85,18.6,50.0,100.0,8.14,100.0,9.94,69.13,12.78,8.14,0,0,17,0,0,1.44,0,100.0,52108.8414634146,20.79,74.73,0.61,19.38,3.1,3.04,100.0,0,0.4817,100.0,4.78,10.89,3.03,3.6,0.57,17.9,39.96,53.97,100.0,100.0,16.28,100.0,5.87,5.11,100.0,0,31456,74.39,100.0,100.0,51.98,48.02,36548,25.58,100.0,0,100.0,100.0,17.68,2.64,2.64,100.0,16.46,100.0
14000US17031530200,1.1,1.07,31.43,9.41,18.78,38.21,100.0,0.500906954009053,8841.962,4429,0,0,15.07,4.71,3.01,18.46,34.51,60.0,100.0,0,100.0,10.96,75.81,7.79,5.44,0,0,48,0,0,0,0,100.0,39405.3597650514,99.32,0,0,12.37,7.65,0.68,100.0,0,0.4564,100.0,9.4,5.15,2.72,5.22,7.87,9.56,9.85,52.76,100.0,100.0,0,100.0,9.04,9.34,100.0,5.51,13229,54.77,100.0,100.0,55.61,44.39,27073,40.0,100.0,0,100.0,100.0,35.32,0.86,13.88,100.0,13.22,100.0
14000US06037402200,6.6,2.45,31.5,15.88,17.48,25.66,100.0,2.18304023030223,3348.999,7311,0.42,0,18.23,5.73,9.41,7.11,23.87,0,100.0,0,100.0,21.1,63.38,6.48,9.04,0,29.73,32,8.75,3.0,25.07,0,100.0,85597.6665046184,10.56,48.19,5.64,9.23,8.64,4.43,100.0,0,0.4305,100.0,18.18,6.23,2.43,2.12,4.18,11.06,24.62,74.78,100.0,100.0,0.99,100.0,1.75,7.14,100.0,11.96,25551,37.92,100.0,100.0,51.94,48.06,65428,69.28,100.0,8.07,100.0,100.0,7.05,3.87,5.4,100.0,3.74,100.0
14000US53011041008,12.07,1.77,33.77,26.8,4.43,20.37,100.0,0.994799589805049,4170.689,4149,0.8,0,13.07,4.59,10.16,4.48,35.72,1.92,100.0,5.45,100.0,10.8,57.59,13.61,17.61,0.38,23.72,29,3.81,0.29,4.53,0.36,100.0,98901.2855209743,0.51,86.74,8.39,6.77,3.52,3.76,100.0,0.32,0.4042,100.0,24.02,2.97,2.54,2.0,0.54,20.15,26.42,74.28,100.0,100.0,20.51,100.0,5.46,7.62,100.0,0,35721,8.19,100.0,100.0,51.48,48.52,72321,48.08,100.0,4.26,100.0,100.0,0.81,2.36,1.96,100.0,1.01,100.0
14000US53011041009,4.47,2.14,40.16,13.95,9.67,29.31,100.0,0.940754937860716,3973.405,3738,0.31,0,10.34,6.95,3.68,7.6,38.56,0,100.0,5.86,100.0,15.25,68.85,6.08,8.94,0.88,33.7,26,1.95,1.61,4.41,0,100.0,56295.0470219436,2.14,86.14,1.38,10.41,2.89,3.75,100.0,0,0.3935,100.0,22.95,9.7,6.84,4.85,0.88,15.37,20.11,55.06,100.0,100.0,9.52,100.0,3.68,9.99,100.0,2.82,24915,51.72,100.0,100.0,51.2,48.8,42190,50.92,100.0,1.5,100.0,100.0,8.03,2.86,7.65,100.0,3.51,100.0
14000US16027020300,1.36,0,36.63,7.72,18.04,36.24,100.0,0.741713475120348,6648.12,4931,0,2.02,17.21,6.7,13.54,8.21,22.26,0,100.0,0,100.0,8.12,69.66,11.84,9.32,1.06,22.4,28,2.09,4.4,10.61,0,100.0,41719.3587416818,0.22,82.56,0,13.53,12.05,0.12,100.0,0,0.3912,100.0,10.04,5.19,7.89,2.02,0.78,5.78,12.99,72.55,100.0,100.0,8.2,100.0,6.24,11.43,100.0,7.71,14671,54.39,100.0,100.0,52.61,47.39,33188,69.4,100.0,0.85,100.0,100.0,7.14,0.2,8.95,100.0,10.34,100.0
14000US26163501200,1.01,0,32.63,5.64,20.04,39.78,100.0,0.265452967349656,6453.121,1713,0.91,0,14.56,17.72,7.28,4.13,40.15,21.74,100.0,26.09,100.0,9.47,71.84,17.72,0.97,0,0,29,0,0,0,0,100.0,33364.1651031895,96.61,1.52,0,10.51,8.76,1.87,100.0,0,0.4309,100.0,18.57,2.18,2.91,17.96,7.28,13.59,1.94,50.74,100.0,100.0,0,100.0,4.13,6.31,100.0,0,11607,61.91,100.0,100.0,57.91,42.09,27008,52.17,100.0,0,100.0,100.0,24.58,1.11,9.94,100.0,18.95,100.0
