Gid,SE_T002_002,SE_T030_002,SE_T083_001,SE_T147_001
36047990100,0,0,0,0
53011041005,178.0887,5.19,18250,25
53011041007,4666.476,5.8,28435,28
22071005400,5284.829,0,31456,17
17031530200,8841.962,5.51,13229,48
06037402200,3348.999,11.96,25551,32
53011041008,4170.689,0,35721,29
53011041009,3973.405,2.82,24915,26
16027020300,6648.12,7.71,14671,28
26163501200,6453.121,0,11607,29
45019004606,2227.951,0,51907,21
45019004607,2058.815,0,47107,17
32005002200,154.3893,9.78,36993,26
72135510200,2438.14,5,14604,43
37009970700,65.97133,0,32877,30
48113001001,6811.185,0,74142,20
28035000800,1600.195,0,30549,17
45019004608,1044.125,0,44201,27
39145002800,126.8457,1.15,20048,26
18167010500,747.9965,22.9,14834,25
12086013800,36029.47,13.27,13501,24
08031000800,2265.591,18.46,5294,28
53011041003,2930.542,10.07,35608,26
26091061600,2382.349,7.45,17929,16
06071000904,7321.462,0,19824,31
06071000903,8395.288,0,18344,32
31033955000,438.8568,8.11,32950,9
06071000901,6401.282,7.72,23808,28
15003011400,978.7152,4.83,20169,20
42095010800,7245.48,0,33441,23
24009860401,1464.67,8.55,43036,44
24009860402,877.5624,0,33124,41
31119961000,4170.331,4.15,16708,13
24031702500,15817.54,0,48578,32
13261950100,11.31283,4.35,21102,21
42069110201,94.71763,0,31143,25
36047021400,36729.98,0,15467,50
36081103201,41427.33,0,16756,54
06085503118,25121.88,0,22852,28
36081103202,28475.79,3.77,19225,40
06085503116,12106.84,0,37568,31
06085503117,16116,0,15493,26
06085503115,3675.514,0,50247,31
06085503112,8849.882,0,27088,33
06085503113,17840.45,0,19679,30
06085503110,18371.12,5.68,13145,28
06085503111,15042.05,0,23770,25
06023010400,255.5919,0,28487,22
39027964900,345.7693,6.92,21751,30
09003460301,1806.35,0,46133,25
09003460302,1683.653,0,45303,23
40013796600,76.46446,0,21607,21
26099255500,3080.451,9.52,26475,25
55097960500,253.1437,0,34222,18
45027960500,141.3805,6.5,12010,30
41003000900,1444.005,0,40764,18
24043010600,73.75961,0,23212,32
36043010400,1237.979,21.26,19272,22
04013420710,7540.377,26.09,24533,26
17043846509,3972.587,23.61,34361,38
25025000701,44092.6,0,32478,37
25025000703,28489.55,0,21452,32
25025000704,48823.27,0,31617,35
49035113307,4059.377,7.17,12864,20
32007950200,0.7628981,7.69,23003,18
36103123402,6142.63,3.45,30662,30
26147658100,73.72826,2.63,24936,42
49035113308,8894.146,9.8,15744,21
36103123401,5088.29,0,28282,26
17043846504,3742.864,0,40925,24
17043846507,1534.331,0,46245,37
48453002317,4685.363,0,14689,22
06085504421,8122.122,0,40750,28
55073001800,27.79,2.21,35678,26
42101026600,17643.83,6.86,21446,33
15009990000,0,0,0,0
34031143200,4163.889,0,45183,27
48453002315,16713.45,0,24104,25
55103970300,394.4863,13.04,25742,18
27037060739,1804.561,0,31017,26
36059414502,6760,3.93,38816,32
36071011601,161.2457,23.74,24445,29
27003050820,3179.636,0,36230,28
27003050821,2378.826,4.19,48948,26
05031000601,428.1397,0,20490,18
05031000602,3851.777,1.13,6813,15
06037540700,7813.167,13.62,13536,34
06037119202,11790.1,4.59,17365,27
18089042802,3044.405,3.59,35446,32
18089042801,2457.055,0,35889,31
06037119201,11227.98,0,18253,32
12011090503,4327.079,0,53124,29
26161410800,2650.777,15.94,19971,23
37109071102,389.605,0,33797,30
12057002800,4584.721,50.67,36771,20
37109071101,309.447,4.77,31740,31
06081604000,9139.869,0,45716,27
36065025500,138.7709,0,32187,21
18089040401,2752.336,11.36,34352,28
18089040403,5029.161,0,32899,28
18089040402,2464.925,0,61223,31
48141000207,6790.278,4.74,13727,30
26099245300,3605.256,22.34,30892,22
48141000205,5440.484,17.47,13131,24
48141000204,4846.152,0,19399,23
22089062900,558.9549,27.78,26831,27
36037951000,2190.615,15.54,19708,19
26163585900,1013.822,0,19869,21
18089010900,2220.379,4.55,14218,27
48141000208,2625.559,0,14915,25
48239950100,14.59027,12.75,27267,24
28013950300,14.43916,0,18300,28
37079950101,50.49442,6.42,21560,27
19017004100,331.0955,3.13,37310,16
19113002600,2830.862,20.78,19519,20
06065048100,284.5778,1.2,33780,38
29133950300,9.290892,0,21747,21
26093730102,367.1019,1.57,31894,30
18015959600,733.4632,0,20131,22
26093730101,226.4573,0,34473,34
49043964202,33.63357,0,27097,27
49043964203,0.2033584,0,21790,0
21015070308,2850.281,0,33278,22
21015070309,2270.091,0,35911,25
06081611200,6669.201,0,52714,23
21015070307,1500.956,0,36006,28
21015070305,2436.604,0,33935,21
08005007104,259.8835,0.84,27771,23
17137951500,17.89154,9.3,29422,24
21015070301,1305.894,22.32,16267,21
45041000300,319.9055,0,20084,24
48061011100,5143.206,1.02,11236,17
04013082016,1358.595,0,20488,30
04013082017,4867.589,9.63,17588,30
04013082010,8596.928,12.2,12254,23
24005440300,4247.949,0,31900,29
04013082012,5696.206,3.6,20951,28
01097007000,309.956,7.08,35410,23
04013082018,11094.74,20.35,16126,24
04013082019,4048.183,0,31257,27
40101000600,230.1627,0,22017,22
08069001607,3816.537,0,37921,20
06001405901,24567.2,0,12738,32
06001405902,16849.17,3.81,14264,27
12105011910,1125.266,0,19370,23
08069001603,4501.789,12.61,29758,20
06037240402,16858.86,18.02,12796,34
06037240401,20785.98,0,11305,33
13301970400,32.86741,8.93,17807,27
37025041701,143.3231,0,26541,30
37025041702,86.13692,0,24368,33
33011002800,1135.251,1.55,26946,22
34031124500,9109.09,0,27740,31
42011000600,5981.874,0.81,19926,20
08069001608,909.6548,2.8,45978,20
28049002400,3295.633,13.36,12986,18
22063040202,45.85771,8.09,25531,35
22063040201,115.7883,10.29,19569,35
27061480400,5.64759,2.25,29548,34
12095014200,3316.567,0,15039,26
47155081101,253.0434,0,26753,18
47155081102,247.2917,0,22564,19
17043844902,3774.08,0,58065,30
18019050603,2820.818,20,22833,22
18019050605,1480.169,0,27684,20
18019050604,2309.659,0,25205,20
18019050606,2500.081,0,33335,26
04025000402,1682.974,0,31880,17
21025920200,29.96912,0,16307,20
04025000401,2014.828,3.97,31057,17
19113000600,1408.79,0,28938,15
18135951900,90.77587,0.87,22229,29
17033880300,883.3273,13.85,28810,12
36081133900,15227.75,0,36027,42
18173030100,28.22828,0,23114,30
25017352500,34577.77,0,48310,27
04013815300,2259.365,0,39632,28
48201252000,1116.541,0,45058,32
12095016511,3915.323,0,11525,27
12095016510,5645.991,1.35,10460,21
26049002400,4329.535,0,15214,30
34025808600,442.0965,0,41008,24
35049980000,976.5687,0,5264,19
08031000502,9712.233,11.14,42482,25
47047060300,38.36065,0,20389,30
51059432300,4530.357,0,51888,33
08077001501,1762.808,13.52,23607,22
37067002702,2885.181,23.96,21193,21
06037206300,23343.86,66.67,8406,46
08077001502,19.37263,10.65,39409,29
40037020602,1453.981,0,18292,20
37183053108,562.4662,0,26355,33
05093010200,406.9458,8.82,20616,18
36029008500,12358.39,3.03,32989,19
48201221300,6801.84,6.78,13516,29
22057021000,15.00021,0,21927,27
06053014105,1550.679,0,27311,23
06053014104,1514.635,0,3484,20
18097351700,2836.27,0,20009,20
06053014102,498.1449,5.3,20207,22
37183053106,1112.063,19.56,26794,27
37183053107,1109.163,5.43,24632,31
25005653204,650.015,8.16,37838,26
34007611000,5874.045,3.86,19577,26
12103025018,5243.498,24.48,15379,23
04013217800,6959.278,0,29032,21
40031001600,2776.644,5.48,12685,17
40145030405,2915.79,3.81,25283,22
40145030402,137.7449,7.08,32630,29
40145030403,396.3842,0,21749,21
36047054800,32415.97,0,36238,42
37071032301,906.2135,0,26180,22
05087960200,109.5446,3.85,20710,23
37071032302,1245.699,0,22178,21
18003002900,3577.919,2.48,12915,23
26025003200,40.70299,0,21725,25
19083480200,54.2667,3.16,28836,16
29189221301,2819.302,0.43,29042,26
13089021416,8022.9,21.67,33586,27
06013990000,0,0,0,0
06007002000,2053.385,0.68,26894,20
13089021415,5014.32,0,62977,24
13089021412,3012.164,0,61618,31
10005051305,283.7914,0,32177,27
10005051306,582.48,0,45100,23
13089021411,5367.063,0,63138,24
06001441800,9279.137,1.91,39884,31
27009021101,2218.469,0,25344,22
72145990000,0,0,0,0
27141030200,72.13176,0.63,31881,39
06065041410,3539.166,0,11972,28
06065041411,8045.573,0,15503,35
06065041412,5456.161,7.59,20137,35
05081030200,15.10475,0,20873,27
36061026500,102092.6,0,32651,41
17075950800,13.05265,1.01,32122,22
06065042214,618.947,0,27089,31
02090001700,0.9071028,0,37006,34
06065042213,4218.756,0,24893,24
06059063301,8428.249,0,45497,21
37051003305,1907.229,5.22,27180,17
06059063302,7703.384,1.53,53269,21
36059412100,9570.475,0.25,45926,36
24031700819,8507.328,0,33820,37
24031700818,8276.497,4.9,26304,34
22051024700,5970.353,0,23783,23
24031700815,6551.73,0,35889,40
12057002000,6293.915,25.45,14147,27
24031700817,3943.889,0,53547,28
24031700816,7721.075,0,33642,31
24031700811,7870.345,0,28898,37
24031700810,3796.6,0,36201,37
24031700813,6299.849,8.98,33704,36
24031700812,6084.414,0,43219,38
49005000900,5092.19,0,16283,15
28051950300,17.28837,4.6,10773,28
27173970100,21.20564,0,27844,15
45083022005,1225.726,0,30477,21
45083022004,743.8947,1.34,20116,23
42129802500,3997.405,6.31,24341,21
45083022006,674.714,10.76,18717,19
31037964600,21.78549,0,28970,20
23011018000,97.44325,0,26427,29
36005021301,45425.88,9.84,16574,33
17163503903,143.8965,0,39521,23
06037228600,24550.09,6.2,9689,38
17163503906,115.5891,0,33343,28
28117950100,47.80142,11.49,18235,29
17163503904,500.3961,0,36722,20
17163503905,623.1293,0,37842,26
34007609204,2913.111,0,22849,37
34007609205,267.029,0,38438,34
34007609202,3705.402,0,28862,38
34007609203,1297.07,0,36573,38
06001420200,18642.74,0,39699,32
34007609201,2564.731,5.49,27576,32
48029191503,2337.061,0,41585,28
48029191506,3982.415,0,44314,23
26049013401,182.0391,0,38042,35
26029000400,84.99998,0,34652,22
48029191505,2460.016,0,72547,23
09003494600,1562.803,0,41335,21
36069052100,50.89418,0,36008,30
13123080200,42.47298,7.69,28643,35
37067004015,726.7466,9.09,28868,24
37067004014,1068.769,3.79,31811,19
34013021400,3345.949,0,49336,33
37067004011,1357.546,0,37008,21
37067004010,720.9307,0,61120,21
37067004013,1551.505,5.7,32102,18
31131966800,13.98189,6.21,32403,32
06099003100,71.34663,0,18356,29
48273020400,1211.399,0,22384,19
09003496600,2115.171,9.2,67899,26
01097001400,2746.876,12.82,14905,22
09003473800,2517.438,0,23925,22
26065006302,520.9428,6.13,29356,21
06097153104,6327.608,0,14031,20
42003472400,11375.27,0,32974,27
06065040607,1132.527,11.98,26439,39
36005004600,37814.52,21.05,18472,37
51153901601,4431.587,0,29144,46
51153901602,4277.231,0,25092,37
17187870300,14.88721,4.76,25708,21
26163510700,8251.859,0,7151,21
04027001200,1932.024,10.19,20729,14
26135970300,9.906817,25.4,17347,20
04027000100,1527.616,7.14,14121,19
39001770200,57.38548,2.35,20719,36
06037191302,14651.61,0,21855,31
06037191301,23018.12,5.04,22638,31
42003522000,6452.163,7.69,20660,32
42051263000,2248.876,0,19847,24
48201511002,5039.305,0,54076,24
36047050000,47310.28,0,39616,42
12086011009,8232.821,0,22997,39
06037192300,7683.144,16,83827,29
36077590900,2029.83,0,26507,14
25023524101,311.0298,4.69,33349,34
48201250401,6781.415,4.97,35759,32
28019950100,14.17868,0,18617,37
36119005902,5194.34,0,47879,33
36059517000,1614.548,0.68,67218,30
22077951900,87.55526,40.52,21872,26
45089970900,20.78212,10.34,24046,32
12081000704,6799.776,0,13772,23
06095250502,4291.042,0,25843,38
06095250501,4404.088,0,24881,34
12086011005,7977.563,26.71,17969,35
12081000703,2150.748,5.84,16268,18
36047045000,5880.304,0,27997,36
39035108301,2788.814,0,17253,19
42069110202,180.0479,25.33,31304,23
22071000300,5243.279,10.53,16864,30
51103030300,175.0068,2.53,38488,24
47001020800,319.1607,0,16665,24
17031670100,9444.299,14.29,15265,42
17091012400,4843.676,0,19290,19
55025012001,954.4608,2.43,33964,24
36001013706,2073.063,0,53064,18
36001013707,1928.963,0,44911,18
39061021702,5055.918,0,19502,26
36001013705,1901.557,0,38187,22
36001013703,426.5494,27.64,26767,17
